Cím;Eredeti cím;Műfaj;Készítés éve;Gyártó országok;Rendező;Szereplők;Magyar korhatárbesorolások
A Bang Jensen-ügy;A Bang Jensen-ügy;dokumentum;2008;Magyarország;Surányi András;;II (F/9541/D)
A bankár;The Banker;bűnügyi;1989;USA;William Webb;Shanna Reed/Robert Foster/Jeff Conaway;Csak 16 éven felülieknek (1990, HAJDÚ FILM, 98 perc)
A bankett;A bankett;dokumentum;1981;Magyarország;Gazdag Gyula;;Korhatár nélkül (1982, MOKÉP, 83 perc)
A barátnőm barátja;L'ami de mon amie;vígjáték;1987;Franciaország;Eric Rohmer;Anne-Laure Meury/François-Eric Gendron/Emmanuelle Chaulet;14 éven aluliaknak nem ajánlott (1992, BUDAPEST FILM, 103 perc)
A barbár;Pathfinder;akció;2007;Kanada/USA;Marcus Nispel;Russell Means/Karl Urban;IV (2007, F/6415/J, INTERCOM, 99 perc)
A barlang;The Cave;akció;2005;USA/Németország;Bruce Hunt;Cole Hauser/Morris Chestnut/Eddie Cibrian;III (2005, F/2336/J, 97 perc) / III (2005, F/2336/J)
A barlang;The Descent;horror;2005;Nagy-Britannia;Neil Marshall;Shauna Macdonald/Natalie Jackson Mendoza/Alex Reid;IV (2006, F/3002/J) / IV (2006, F/3002/J, 99 perc)
A barlang 2;The Descent: Part 2;horror;2009;Nagy-Britannia;Jon Harris;Joshua Dallas/Douglas Hodge/Shauna Macdonald;IV (2010, F/10544/J, BUDAPEST FILM, 90 perc)
A bádogdob;Die Blechtrommel;filmdráma;1979;Franciaország/Jugoszlávia/Lengyelország/NSZK;Volker Schlöndorff;Angela Winkler/Mario Adorf/David Bennet;Csak 16 éven felülieknek (1989, MAGYAR FILMTUDOMÁNYI INTÉZET /Filmmúzeum/, 135 perc)
A bájkeverő;Bedazzeld;romantikus - vígjáték;2000;USA;Harold Ramis;Elizabeth Hurley/Frances O'Connor/Brendan Fraser;14 éven aluliaknak nem ajánlott (2000, INTERCOM, 93 perc) / II (2005, F/1672/J)
A bál;Ballando ballando - Le Bal;zenés;1983;Franciaország/Olaszország;Ettore Scola;Christophe Allwright/Aziz Arbia/Marc Berman;Korhatár nélkül (1986, MOKÉP, 114 perc)
A bálnalovas;Whale Rider;filmdráma;2002;Németország/Új-Zéland;Niki Caro;Keisha Castle-Hughes/Rawiri Paratene/Cliff Curtis;I (2004, F/0140/J, BUDAPEST FILM) / I (2004, F/0140/J, BUDAPEST FILM, 101 perc)
A bár;The Florentine;vígjáték;1999;USA;Nick Stagliano;Luke Perry/Jeremy Davies/Virginia Madsen;III (2007, F/6212/J, Fórum Home Entertainment)
A bárányok hallgatnak;Silence of the Lambs;thriller;1991;USA;Jonathan Demme;Scott Glenn/Jodie Foster/Anthony Hopkins;IV (2005, F/2762/J) / Csak 18 éven felülieknek (1992, INTERCOM, 118 perc)
A báránysültek hallgatnak;Silenzio dei prosciutti, Il;vígjáték;1994;Olaszország/USA;Ezio Greggio;Ezio Greggio/Dom DeLuise/Billy Zane;III (2005, F/1306/J)
A bátor kis kenyérpirító;Brave little toaster;animáció;1987;USA;Jerry Rees;Timothy Stack/Jon Lovitz/Timothy E. Day;I (2004, F/0573/A, CINETEL KFT.)
A bátor lovacska;Ico, el caballito valiente;animáció;1982;Argentína;Manuel Garcia Ferré;;Korhatár nélkül (1987, MOKÉP, 91 perc)
A bátrak hazája;Home of the Brave;akció;2006;Morocco/USA;Irwin Winkler;Samuel L. Jackson/Jessica Biel/Brian Presley;II (2006, F/6998/J, 106 perc)
A bátrak igazsága;Courage under fire;háborús;1996;USA;Edward Zwick;Matt Damon/Denzel Washington/Meg Ryan;14 éven aluliaknak nem ajánlott (1996, INTERCOM, 116 perc) / III (2004, F/0218/J, INTERCOM) / III (2005, F/2238/J, 112 perc)
A bátyám öccse minden pénzt megér;Brácha za vsechny penize;vígjáték;1978;Csehszlovákia;Stanislav Strnad;Roman Cada/Magda Reifová/Libuse Safránková;Korhatár nélkül (1983, MOKÉP, 93 perc)
A Beatles;The Beatles: Celebration;dokumentum;1999;USA;Geoffrey Giuliano/Mark Devito;John Lennon/Ringo Starr/Paul McCartney/George Harrison;II (2006, F/5579/D, VIP Produkció, 57 perc)
A bedford incidens;The Bedford Incident;filmdráma;1965;Nagy-Britannia/USA;James B. Harris;Richard Widmark/James MacArthur/Sidney Poitier;III (2005, F/0725/J, WARNER HOME VIDEO)
A befejezetlen játszma;Ji-pan mej-jou hszia-van-tö csi Mikan no Taikjoku;filmdráma;1983;Kína;Szató Dzsunja;Mikuni Rentaró/Szun Tao-lin/Sen Kuan-csu;Korhatár nélkül (1986, MOKÉP, 134 perc)
A belgrádi Fantom;The Belgrade Phantom;akció;2009;Szerbia/Bulgária/Magyarország;Jovan B. Todorovic;Boris Komnenić/Marko Živić/Milutin Milošević;II (F/10212/J)
A belső ember;Inside Man;akció;2006;USA;Spike Lee;Clive Owen/Denzel Washington/Jodie Foster;III (2006, F/3311/J) / III (2006, F/3311/J, 129 perc)
A belső kör;Le Premiere Cercle;akció - krimi;2009;Olaszország/Franciaország,;Laurent Tuel;Gaspard Ulliel/Jean Reno/Sami Bouajila;III (2010, F/10496/J, MOKÉP, 95 perc)
A belső tenger;Mar Adentro;filmdráma;2004;Spanyolország/Franciaország/Olaszország;Alejandro Amenábar;Javier Bardem/Belén Rueda/Lola Duenas;II (2005, F/0801/J, BUDAPEST FILM, 125 perc) / II (2005, F/0801/J, BUDAPEST FILM)
A bennfentes;The Insider;filmdráma;1999;USA;Michael Mann;Russell Crowe/Christopher Plummer/Al Pacino;14 éven aluliaknak nem ajánlott (2000, INTERCOM, 160 perc)
A bermuda-háromszög rejtélye;The Triangle;tévésorozat;2005;USA/Nagy-Britannia;Craig R. Baxley;Eric Stoltz/Lou Diamond Phillips/Catherine Bell;III (2006, F/3693/J)
A bestia;Bestia;társadalmi dráma;1978;Lengyelország;Jerzy Domaradzki;Krystyna Janda/Izabela Telezynska/Wojciech Alabarski;Csak 16 éven felülieknek (1981, MOKÉP, 105 perc)
A Bestia;The Relic;horror;1997;USA/Németország/Nagy-Britannia/New Zealand/Japán;Peter Hyams;Tom Sizemore/Penelope Ann Miller/Linda Hunt;Csak 16 éven felülieknek (1997, 110 perc) / III (F/7329/J, 110 perc)
A beszélő titkai;Qu'un seul tienne et les autres suivront;filmdráma;2009;Franciaország;Léa Fehner;Reda Kateb/Pauline Etienne/Farida Rahouadj;III (2010, F/10001/J, Filmklik Kft., 120 perc)
A betolakodó;Á l'intérieur;horror;2007;Franciaország;Julien Maury/Alexandre Bustillo;Béatrice Dalle/Alysson Paradis/Nathalie Roussel;IV (F/8856/J)
A betörés;Der Bruch;bűnügyi - vígjáték;1989;NDK;Frank Beyer;Götz George/Otto Sander/Rolf Hoppe;14 éven aluliaknak nem ajánlott (1990, MOKÉP, 118 perc)
A betörés nagymestere;Les spécialistes;bűnügyi;1985;Franciaország;Patrice Leconte;Christiane Jean/Gérard Lanvin/Bernard Giraudeau;Korhatár nélkül (1986, MOKÉP, 93 perc)
A betyárkapitány;Haiducii lui saptecai;kaland;1970;Románia;Dinu Cocea;Marga Barbu/Florin Piersic/Colea Rautu;Korhatár nélkül (1983, MOKÉP /Felújítás/, 94 perc)
A Beverly Hills-i zsaru;Beverly Hills Cop;bűnügyi;1984;USA;Martin Brest;John Ashton/Judge Reinhold/Eddie Murphy;14 éven aluliaknak nem ajánlott (1987, MOKÉP, 107 perc)
A bevetés szabályai;Rules Of Engagement;filmdráma;2000;USA;William Friedkin;Tommy Lee Jones/Ben Kingsley/Samuel L. Jackson;Csak 16 éven felülieknekI (2000, INTERCOM, 128 perc) / III (F/7331/J)
A bég csapdájában;????????;kaland;1983;Szovjetunió;Janusz Juszupov;Konsztantyin Butajev/Muhmadali Mahmadov/Bahrom Akramov;Korhatár nélkül (1985, MOKÉP, 78 perc)
A béke dala;Give Peace A Song;életrajzi;2005;Kanada;Paul McGrath;John Lennon/Yoko Ono;II (2007, F/4879/D)
A békés harcos útja;Peaceful Warrior;filmdráma;2006;USA/Németország;Victor Salva;Scott Mechlowicz/Nick Nolte/Amy Smart;II (2007, F/4946/J)
A bérgyilkos;Assassin;akció;1986;USA;Sandor Stern;Karen Austin/Richard Young/Robert Conrad;II (F/6996/J)
A bérgyilkos;Die xue shuang xiong;akció;1989;Hong Kong;John Woo;Sally Yeh/Danny Lee/Yun-Fat Chow;IV (2005, F/1246/J) / Csak 18 éven felülieknek (1993, GUILD, 95 perc)
A bérgyilkosnő;Point of No Return;akció;1993;USA;John Badham;Bridget Fonda/Gabriel Byrne/Dermot Mulroney;II (2007, F/5042/J) / Csak 18 éven felülieknek (1993, INTERCOM, 109 perc)
A biblia;The Bible;tévésorozat;2004;;;;II (F/6873/J)
A biblia;The bible - In the Beginning;filmdráma;1966;Olaszország/USA;John Huston;Ulla Bergryd/Michael Parks/Richard Harris;II (2005, F/1396/J)
A Biblia - Jézus közelében - Mária Magdolna;Gli amici di Gesú - Maria Maddalena;filmdráma;2000;Olaszország/Németország;Raffaele Mertes;Giuliana De Sio/Massimo Ghini/Maria Grazia Cucinotta;II (2009, F/8722/J, Etalon Film Kft., 95 perc)
A Biblia - Jézus közelében - Názáreti József;Gli amici di Gesu - Giuseppe di Nazareth;filmdráma;2000;Olaszország;Raffaele Mertes;Stefania Rivi/Massimo Reale/Tobias Moretti;II (2009, F/8720/J, Etalon Film Kft., 97 perc)
Abigél;Abigél;filmdráma;1978;Magyarország;Zsurzs Éva;Nagy Attila/Szerencsi Éva/Básti Lajos;I (2004, F/0060/J, MOKÉP) / Korhatár nélkül (1985, MOKÉP, 172 perc)
A Birodalom iskolája;A Birodalom iskolája;dokumentum;2003;Magyarország;Papp Gábor Zsigmond;;II (F/10738/D)
A birodalom védelme;Defence of the Realm;bűnügyi;1985;Nagy-Britannia;David Drury;Gabriel Byrne/Greta Scacchi/Denholm Elliott;14 éven aluliaknak nem ajánlott (1988, MOKÉP, 97 perc)
A birodalom visszavág;The Empire Strikes Back;sci-fi;1980;USA;Irvin Kershner;Harrison Ford/Carrie Fisher/Mark Hamill;Korhatár nélkülI (1982, MOKÉP-INTERCOM, 129 perc)
A birodalom visszavár;Les deux mondes;vígjáték;2007;Franciaország;Daniel Cohen;Natacha Lindinger/Benoît Poelvoorde/Michel Duchaussoy;II (2010, F/10812/J, Gamma Home Entertainment, 105 perc)
A birsalma illata;Miris Dunja;háborús;1982;Jugoszlávia;Mirza Idrizovics;Musztafa Nadarevics/Ljiljana Blagojevics/Irfan Mensur;Korhatár nélkül (1986, MOKÉP, 98 perc)
A biztosan ölő sárkány lady;Onna hissatsu godan ken;akció;1976;Japán;Shigehiro Ozawa;Mitchi Love/Etsuko Shihomi/Ken Wallace;14 éven aluliaknak nem ajánlott (1980, MOKÉP, 78 perc)
A bíró és a gyilkos;Juge et l'assassin, Le;bűnügyi;1976;Franciaország;Bertrand Tavernier;Isabelle Huppert/Michel Galabru/Philippe Noiret;III (F/5525/J)
A bíró és a hóhér;Der Richter und sein Henker;bűnügyi;1975;NSZK;Maximilian Schell;Jacqueline Bisset/Martin Ritt/Jon Voight;14 éven aluliaknak nem ajánlott (1981, MOKÉP, 93 perc)
A Bíró és a testőre;Le Juge;tévésorozat;2005;Franciaország;Vincenzo Marano;Natacha Amal/Francis Huster/Vincent Perez;I ()
A black rose vár titka;The mistery of black rose castle;kaland;2001;Nagy-Britannia;Petényi Katalin/Kabay Barna;Djoko Rosic/Travis Kisgen/James Schanzer;I (2006, F/2971/J)
A bob dylan - Dosszié;No Direction Home: Bob Dylan;dokumentum;2004;USA;Martin Scorsese;Bob Dylan/Liam Clancy/Allen Ginsberg;II (2005, F/2686/E, INTERCOM)
A bohóc - A bosszú napja;Der Clown;akció;2005;Németország;Sebastian Vigg;Thomas Anzenhofer/Sven Martinek/Eva Habermann;II (2005, F/1843/J)
A bojáni mester;Bojanszkijat majsztor;filmdráma;1980;Bulgária;Zahari Zsandov;Petar Deszpatov/Emil Markov/Atanasz Bozsinov;Korhatár nélkül (1983, MOKÉP, 108 perc)
A boksz története;Facce da pugni;dokumentum;;;;;II (2006, F/3621/D)
A boldogító nem;In & Out;vígjáték;1997;USA;Frank Oz;Kevin Kline/Tom Selleck/John Cusack;14 éven aluliaknak nem ajánlott (1998, INTERCOM, 90 perc)
A boldogító talán;Made of Honor;vígjáték;2008;USA/Nagy-Britannia;Paul Weiland;Michelle Monaghan/Patrick Dempsey/Kevin McKidd; (2008, F/7244/J, 102 perc) / II (2008, F/7244/J, 102 perc)
A boldogság íze;The Bread, My Sweet;filmdráma;2001;USA;Melissa Martin;Scott Baio/Kristin Minter/Rosemary Prinz;III (F/9103/J)
A boldogság nyomában;The Pursuit of Happyness;filmdráma;2006;USA;Gabriele Muccino;Thandie Newton/Will Smith/Jaden Smith;II (2007, F/4604/J, 120 perc) / II (2007, F/4604/J)
A boldogság színe;The Colour Of Happiness;filmdráma;2003;Magyarország;József Pacskovszky;Györgyi Anna/Erik Desfosses/Kálid Artúr;14 éven aluliaknak nem ajánlott (2003, MOKÉP, 86 perc)
A boldogságtól ordítani;Happiness;filmdráma;1998;USA;Todd Solondz;Ben Gazzara/Jane Adams/Lara Flynn Boyle;Csak 16 éven felülieknek (1999, BUDAPEST FILM, 134 perc)
A bolond és a királynő;Sasek a královna;szatíra;1987;Csehszlovákia;Vera Chytilová;Jiri Kodet/Chantal Poulain/Boleslav Polivka;14 éven aluliaknak nem ajánlottI (1989, MOKÉP, 121 perc) / II (2009, F/7283/J, MOKÉP)
A bolygó hollandi;The Flying Dutchman;thriller;2001;USA;Robin P. Murray;Rod Steiger/Eric Roberts/Catherine;III (2005, F/1904/J)
A bolygó neve: halál;Aliens;sci-fi;1986;USA;James Cameron;Sigourney Weaver/Michael Biehn/Paul Reiser;IV (F/6915/J) / Csak 16 éven felülieknekI (1988, MOKÉP, 139 perc)
A bomba átmérője;Diameter of the bomb;dokumentum;2005;Kanada/Nagy-Britannia;Andrew Quigley/Steven Silver;;III (2005, F/2820/D)
A bombák földjén;The Hurt Locker;filmdráma;2008;USA;Kathryn Bigelow;Brian Geraghty/Jeremy Renner/Anthony Mackie;III (2010, ADS Service, 131 perc) / III (2010, F/9841/J, BUDAPEST FILM, 131 perc)
A borotvás gyilkos;Radikalni rez;bűnügyi;1983;Csehszlovákia;Dusan Klein;Bronislav Poloczek/Lubomir Paulovic/Jozef Ropog;14 éven aluliaknak nem ajánlott (1986, MOKÉP, 91 perc)
A Boszorkány-hegy;Escape to Witch Mountain;fantasy;1975;USA;John Hough;Donald Pleasence/Eddie Albert/Ray Milland;I (2009, F/8936/J, INTERCOM, 97 perc)
A Boszorkány-hegy;Race to Witch Mountain;kaland;2009;USA;Andy Fickman;AnnaSophia Robb/Alexander Ludwig/Dwayne Johnson;II (2009, F/8897/J, 98 perc)
A bosszú;Dalkomhan insaeng;akció;2005;Dél-Korea;Ji-woon Kim;Jeong-min Hwang/Ku Jin/Yu-mi Jeong;IV (F/8526/J)
A bosszú asszonya;Chinjeolhan geumjassi;bűnügyi;2005;Dél-Korea;Chan-Wook Park;Yeong-ae Lee/Tony Barry/Min-sik Choi;IV (2008, F/6425/J, SELECT '86, 112 perc) / IV (2005, F/6425/J, 112 perc)
A bosszúállás ideje;Tiempo de revancha;társadalmi dráma;1981;Argentína;Adolfo Aristarain;Julio de Grazia/Haydée Padilla/Federico Luppi;14 éven aluliaknak nem ajánlott (1986, MOKÉP, 114 perc)
A bosszúállók;The revengers;western;1972;USA/Mexikó;Daniel Mann;Ernest Borgnine/William Holden/Woody Strode;II (2005, F/2823/J)
A bosszú börtönében;Lock Up;akció;1989;USA;John Flynn;Sylvester Stallone/Donald Sutherland/John Amos;14 éven aluliaknak nem ajánlott (1989, INTERCOM, 112 perc)
A bosszú hajnali lovasa;The Dawn Rider;western;1935;USA;Robert N. Bradbury;John Wayne/Marion Burns/Dennis Moore;II (F/8212/J, 53 perc)
A bosszú mocsara;Fait Accompli;thriller;1998;USA;Andrzej Sekula;Balthazar Getty/Rosanna Arquette/Michael Madsen;Csak 16 éven felülieknek (1998, 94 perc) / III (1998, F/6546/J, 94 perc)
A bosszú színe;A cor do seu destino;társadalmi dráma;1986;Brazília;Jorge Duran;Norma Bengel/Guilherme Fontes/Franklin Caicedo;14 éven aluliaknak nem ajánlott (1988, MOKÉP, 106 perc)
A bosszú ura;Boksuneun naui geot;bűnügyi;2002;Dél-Korea;Chan-Wook Park;Du-na Bae/Kang-ho Song/Ha-kyun Shin;IV (2008, F/6426/J, SELECT '86, 129 perc) /  (2007, F/6426/J, ODEON, 129 perc)
A bosszú völgye;Vengeance valley;western;1951;USA;Richard Thorpe;Burt Lancaster/Robert Walker/Joanne Dru;I (2006, F/3579/J)
A botcsinálta hős;Pantelej;kaland;1977;Bulgária;Georgi Sztojanov;Pavel Poppandov/Nikola Anasztaszov/Dobrinka Sztankova;Korhatár nélkül (1980, MOKÉP, 106 perc)
A botrány szele;A breath of scandal;romantikus - vígjáték;1960;Olaszország/Ausztria/USA;Michael Curtiz;Maurice Chevalier/Sophia Loren/John Gavin;II (2006, F/2898/J)
A Bounty;The Bounty;kaland;1984;USA;Roger Donaldson;Anthony Hopkins/Laurence Olivier/Mel Gibson;14 éven aluliaknak nem ajánlott (1987, MOKÉP, 132 perc)
A bourne csapda;The Bourne Supremacy;bűnügyi;2004;USA/Németország;Paul Greengrass;Brian Cox/Matt Damon/Franka Potente;III (2004, F/0078/J, UIP DUNA FILM KFT., 108 perc) / III (2004, F/0078/J, UIP DUNA FILM KFT.)
A bourne-rejtély;The Bourne Identity;thriller;2002;Csehország/USA/Németország;Doug Liman;Matt Damon/Franka Potente/Chris Cooper;III (2007, F/4857/J)
A Bourne ultimátum;The Bourne Ultimatum;akció;2007;Németország/USA;Paul Greengrass;David Strathairn/Julia Stiles/Matt Damon;III (F/6035/J)
A bölcs bagoly meséje - Karácsonyi kaland;A Christmas Adventure from a Book Called Wisely's Tales;animáció;2001;Ausztrália;Dale Sexton;;I (2005, F/2770/A)
A bőség földje;Land of Plenty;filmdráma;2004;USA/Németország;Wim Wenders;Michelle Williams/John Diehl/Shaun Toub;II (2004, F/0511/J, FF FILM KFT., 123 perc)
Abrakadabra;A Shock to the System;vígjáték;1990;USA;Jan Egleson;Michael Caine/Elizabeth McGovern/Peter Riegert;14 éven aluliaknak nem ajánlott (1991, SATURNUS FILM, 88 perc)
A brazíliai fiúk;The boys from Brazil;thriller;1978;Nagy-Britannia/USA;Franklin J. Schaffner;James Mason/Gregory Peck/Laurence Olivier;III (2005, F/2145/J)
A brémai muzsikusok;Los 4 musicos de Bremen;animáció;1989;Spanyolország;Cruz Delgado;;Korhatár nélkül (1990, HUNGAROFILM, 84 perc)
Abrigate;Abrígate;vígjáték;2007;Spanyolország/Argentína;Ramón Costafreda;María Bouzas/Alejandro Albaiceta/Celso Bugallo;III (F/5444/J)
A brooklyni testvér;A brooklyni testvér;filmdráma;1994;Magyarország;Gárdos Péter;Haumann Péter/Hernádi Judit/Bán János;14 éven aluliaknak nem ajánlott (1995, HUNNIA PLUSSZ, 85 perc)
Absolon;Absolon;sci-fi;2003;USA;David Barto;Lou Diamond Phillips/Christopher Lambert/Kelly Brook;III (2005, F/1909/J)
Abszolút kezdők;Absolute beginners;zenés;1986;Nagy-Britannia;Julien Temple;Eddie O'Connell/Patsy Kensit/David Bowie;14 éven aluliaknak nem ajánlott (1993, FLAMEX, 108 perc) / II (2006, F/3792/J)
A buharai festő;Mirázsi ljubovi;életrajzi;1986;Szovjetunió;Tolomus Okejev;Farhad Mirzajev/Fahridtin Mahamatgyinov/Aszela Esimbejeva;Korhatár nélkül (1988, MOKÉP, 100 perc)
A bukás - Hitler utolsó napjai;Untergang, Der;háborús;2004;Németország/Ausztria/Olaszország;Oliver Hirschbiegel;Alexandra Maria Lara/Bruno Ganz/Corinna Harfouch;II (2005, F/0803/J, BEST HOLLYWOOD KFT., 156 perc) / II (2005, F/0803/J, BEST HOLLYWOOD KFT.)
A bumfordi;Balamut;vígjáték;1978;Szovjetunió;V. Rogovoj;Vagyim Andrejev/Natalja Kaznacsejeva/Nyikolaj Lenyiszov;Korhatár nélkül (1980, MOKÉP, 80 perc)
A bunker;The Bunker;háborús;2001;Nagy-Britannia;Rob Green;Andrew Tiernan/Jason Flemyng/Christopher Fairbank;III (2007, F/5385/J, CINETEL KFT., 88 perc)
A bunyós;The Boxer;filmdráma;1997;USA;Jim Sheridan;Emily Watson/Daniel Day-Lewis/Brian Cox;Csak 16 éven felülieknek (1998, UIP DUNA FILM KFT., 113 perc)
A burzsoázia diszkrét bája;Le Charme discret de la bourgeoisie;szatíra;1972;Franciaország;Luis Bunuel;Fernando Rey/Paul Frankeur/Stephanie Audran;III (2007, F/4966/J) / 14 éven aluliaknak nem ajánlott (1991, MAGYAR FILMINTÉZET, 105 perc)
A bushido-kard;The Bushido Blade;akció;1981;Nagy-Britannia/USA;Shusei Kotani;Richard Boone/Mike Starr/Toshirô Mifune;II (F/6881/J)
A bűn állomásai;The Yards;bűnügyi;2000;USA;James Gray;Joaquin Phoenix/Charlize Theron/Mark Wahlberg;II (F/7512/J, 115 perc) / Csak 16 éven felülieknek (2000, 115 perc)
A bűn árfolyama;The International;akció;2009;Nagy-Britannia/Németország/USA;Tom Tykwer;Clive Owen/Armin Mueller-Stahl/Naomi Watts;III (2009, F/8718/J, AMM, 118 perc)
A bűnbánó;Il pentito;bűnügyi;1985;Olaszország;Pasquale Squitieri;Tony Musante/Max von Sydow/Franco Nero;14 éven aluliaknak nem ajánlott (1989, MOKÉP, 121 perc)
A bűn hálójában;Nagragyity poszmertno;bűnügyi;1986;Szovjetunió;Borisz Grigorjev;Mihail Zsigalov/Jevgenyij Leonov Gladisev/Alekszandr Tyimoskin;Korhatár nélkül (1989, MOKÉP, 90 perc)
A bűn mélysége;Forbrydelsens element;filmdráma;1984;Dánia;Lars von Trier;Michael Elphick/Esmond Knight/Me Me Lai;III (2006, F/3250/J) / III (2006, F/3250/J)
A bűn művészete;Art Heist;akció;2004;USA;Bryan Goeres;Ellen Pompeo/William Baldwin/Abel Folk;III (2005, F/1078/J, WARNER HOME VIDEO)
A bűnök bűne;Crime of Crimes;akció;1989;Mexikó/USA;Alfredo Zacarias;Richard Yniguez/Aldo Ray/Jeff Celentano;III (2007, F/5085/J)
A bűnös;The Guilty;thriller;2000;USA;Anthony Waller;Bill Pullman/Devon Sawa/Gabrielle Anwar;III (2006, F/2918/J) / Csak 16 éven felülieknek (2000, INTERCOM, 108 perc)
A bűn szépsége;Lepota poroka;filmdráma;1987;Jugoszlávia;Zivko Nikolic;Milutin Karadzic/Mira Furlan/Éva Ras;Csak 16 éven felülieknek (1989, MOKÉP, 106 perc)
A bűn színe;Freedomland;thriller;2006;USA;Joe Roth;Edie Falco/Samuel L. Jackson/Julianne Moore;III (2006, F/3557/J)
A bűn útja;Crime scene;rövidfilm;2004;USA;Ron Johnson;Doug Jones/Ray Beasley/Galway McCullough;IV (2005, F/2089/J)
A bűvös kard - Camelot nyomában;The Magic Sword: Quest For Camelot;animáció;1997;USA;Frederic Du Chau;;Korhatár nélkül (1998, INTERCOM, 89 perc)
A bűvös körhinta;Pollux - Le manege enchanté;animáció;2005;Franciaország/Nagy-Britannia;Dave Borthwick;;I (2005, F/2230/J, 85 perc) / I (2005, F/2230/J)
A Camino;„A” Camino;;;;;;I (F/7065/D)
A canterville-i kísértet;The Canterville Ghost;animáció;2001;Ausztrália;;;I (2006, F/2497/A, 50 perc)
A cassandra-átjáró;The Cassandra Crossing;akció;1976;Olaszország/NSZK/Nagy-Britannia;George P. Cosmatos;Sophia Loren/Richard Harris/Martin Sheen;II (2007, F/4936/J)
A cápa;Jaws;horror;1975;USA;Steven Spielberg;Robert Shaw/Roy Scheider/Richard Dreyfuss;III (2005, F/1621/J)
A cápa 2;Jaws 2;horror;1978;USA;Jeannot Szwarc;Roy Scheider/Murray Hamilton/Lorraine Gary;Csak 16 éven felülieknek (1987, MOKÉP, 119 perc)
A cápa bosszúja;Jaws The Revenge;horror;1987;USA;Joseph Sargent;Lorraine Gary/Lance Guest/Michael Caine;14 éven aluliaknak nem ajánlott (1989, DUNA FILM, 84 perc)
A cápaetető;Der Haifischfütterer;társadalmi dráma;1985;NDK;Erwin Stranka;Gabriele Naumann/Andreas Herrmann/Udo Kroschwald;Korhatár nélkül (1987, MOKÉP, 94 perc)
A cár gyilkosa;Tsareubiytsa;filmdráma;1991;Nagy-Britannia/Szovjetunió;Karen Shakhnazarov;Armen Dzhigarkhanyan/Malcolm McDowell/Oleg Yankovskiy;II (F/8135/J)
