Cím;Eredeti cím;Műfaj;Készítés éve;Gyártó országok;Rendező;Szereplők;Magyar korhatárbesorolások
Cirque du soleil: a cirkusz reneszánsza;Cirque du soleil: Cirque reinvente;cirkuszfilm;2004;USA/Kanada;Nick Morris;Javier Santos Leal./John Gilkey/Rene Bazinet;I (2005, F/2281/E)
Cirque du soleil: allegria;Cirque du Soleil:Allegria;cirkuszfilm;2001;Kanada;Nick Morris;Ebon Grayman/Eve Montpetit/Francesca Gagnon;I (2005, F/1180/E, WARNER HOME VIDEO)
Cirque du soleil: a varázslat folytatódik;Cirque du soleil: La magie continue;cirkuszfilm;2004;USA/Kanada;Franco Dragone;Michel Barette/Faon Balanger/Marco Giannetti;I (2005, F/2285/E)
Cirque du soleil: az ember útja;Cirque du soleil: Journey of man;cirkuszfilm;2000;USA/Kanada;Keith Melton;Ian McKellen/Brian Dewhurst/Nicky Dewhurst;I (2005, F/2284/E)
Cirque du soleil: barokk odüsszeia;Cirque du soleil: A baroque Odyssey;cirkuszfilm;2004;USA/Kanada;Jean-Philippe Duval;Susan Almgren./Marco Giannetti;I (2005, F/2283/E)
Cirque du soleil: corteo;Cirque du Soleil: Corteo;cirkuszfilm;2005;USA/Kanada;;A Cirque du Soleil társulata;I (2006, F/3468/J)
Cirque du soleil: éjféli napsugár;Cirque du Soleil: Midnight Sun;cirkuszfilm;2004;USA/Kanada;Victor Pilon;Paul Ahmarani/Francesca Gagnon/Laur Fugere;I (2005, F/2165/E)
Cirque du soleil: la nouba - Félelem és extázis;Cirque du Soleil: La Nouba;cirkuszfilm;2003;Kanada;David Mallet;Luan Leilei/Luis Pelegrini/Juliana Neves;I (2005, F/1181/E, WARNER HOME VIDEO)
Cirque du soleil: saltimbanco;Cirque du soleil: Saltimbanco;cirkuszfilm;1997;USA/Kanada;Jacques Payette;Rene Bazinet/Cecile Ardail/Dimitria Arnaoutov;I (2005, F/2282/E)
Cirque du soleil: solstrom - A nap teremtményei;Cirque du Soleil: Solstrom;cirkuszfilm;2003;Kanada;David Mallet;Luan Leilei/Luis Pelegrini/Juliana Neves;I (2005, F/1179/E, WARNER HOME VIDEO)
Cirque du soleil: szerelmi bánat;Cirque Du Soleil: Lovesick;cirkuszfilm;2005;Kanada;;A Cirque du Soleil társulata;III (2006, F/3523/J)
Cirque du soleil: új élmény;Cirque du soleil: Nouvelle experience;cirkuszfilm;2004;USA/Kanada;Jacques Payette;Didier Antoine/Irina Arnaoutova/Cecile Ardail;I (2005, F/2286/E)
Citizen kohn;Citizen Kohn;filmdráma;1992;USA;Frank Pierson;James Woods/Joe Don Baker/Joseph Bologna;III (2005, F/2385/J)
Citromdisznó;Citromdisznó;szatíra;1992;Magyarország;Szőke András;Attila Epres/Zoltán Ternyák/Tóth Éva;14 éven aluliaknak nem ajánlott (1993, M.I.T., 85 perc)
Citromfa;Etz Limon;filmdráma;2008;Izrael/Franciaország/Németország;Eran Riklis;Hiam Abbass/Tarik Kopty/Ali Suliman;II (2009, F/9023/J, 106 perc)
Ciutat Vella Sport Klub;Ciutat Vella CB;dokumentum;2008;Spanyolország;Folk Albert;;I (F/10123/D, 55 perc)
Civil jelentés;Civil jelentés;dokumentum;2007;Magyarország;Gulyás János;;III (F/6326/D)
CJ7 - a kis zöld látogató;Cheung Gong 7 hou;családi;2008;Hong Kong;Stephen Chow;Stephen Chow/Lei Huang/Jiao Xu;II (2008, F/7646/J, Fórum Home Entertainment, 85 perc)
Claire életre - Halálra;Picture Claire;thriller;2001;USA/Spanyolország/Kanada;Bruce McDonald;Juliette Lewis/Gina Gershon/Mickey Rourke;III (2005, F/2101/J) / 14 éven aluliaknak nem ajánlott (2003, BUDAPEST FILM)
Claire térde;Le Genou de Claire;filmdráma;1970;Franciaország;Eric Rohmer;Aurora Cornu/Jean-Claude Brialy/Béatrice Romand;14 éven aluliaknak nem ajánlott (1992, BUDAPEST FILM, 105 perc)
Clara;Geliebte Clara;életrajzi;2008;Magyarország/Franciaország/Németország;Helma Sanders-Brahms;Martina Gedeck/Malik Zidi/Pascal Greggory;II (2009, F/8921/J, Grant Film Kft., 107 perc)
Cleopatra Jones;Cleopatra Jones;akció;1973;USA;Jack Starrett;Brenda Sykes/Tamara Dobson/Bernie Casey;III (2005, F/2579/J)
Cleopatra Jones és az aranykaszinó;Cleopatra Jones and the Casino of Gold;akció;1975;USA;Charles Bail;Tamara Dobson/Ni Tien/Stella Stevens;IV (2005, F/2580/J)
Cliffhanger - függő játszma;Cliffhanger;akció;1993;Franciaország/Olaszország/USA;Renny Harlin;Sylvester Stallone/John Lithgow/Michael Rooker;14 éven aluliaknak nem ajánlott (1993, INTERCOM, 118 perc) / III (2005, F/1103/J, INTERCOM, 107 perc)
Clifford nagyon nagy kalandja;Clifford's Really Big Movie;animáció;2004;USA;Robert C. Ramirez;;I (2005, F/1303/J)
Cliff Richard: live (castles in the air);Cliff Richard: Live (Castles in the Air);zenés;2004;USA;Brian Klein;;II (2008, F/6850/E, 61 perc)
Cloverfield;Cloverfield;akció;2008;USA;Matt Reeves;Michael Stahl-David/Jessica Lucas/Lizzy Caplan;III (2008, F/6819/J, UIP DUNA FILM KFT., 85 perc) / III (2008, F/6819/J, INTERCOM, 85 perc)
Cobra 11;Alarm für Cobra 11 - Die Autobahnpolizei;akció - krimi;1996;Németország;Raoul W. Heimrich/Carmen Kurz/Axel Barth;Erdogan Atalay/Dietmar Huhn/Gottfried Vollmer;II (2007, F/6959/E, Klub Publishing, 45 perc)
Cobra verde;Cobra Verde;filmdráma;1987;NSZK;Werner Herzog;Nana Fedu Abodo/Klaus Kinski/Salvatore Basile;II (2004, F/0581/J, CINETEL KFT.) / I (2004, F/0581/J, INTERCOM)
Coco Chanel;Coco avant Chanel;életrajzi;2009;Franciaország;Anne Fontaine;Marie Gillain/Alessandro Nivola/Audrey Tautou/Benoît Poelvoorde;II (2009, F/9168/J, Fórum Hungary, 105 perc) / II (2009, Fórum Home Entertainment, 105 perc)
Coco Chanel és Igor Stravinsky - Egy titkos szerelem története ;Coco Chanel  & Igor Stravinsky;romantikus - dráma;2009;Franciaország;Jan Kounen;Yelena Morozova/Mads Mikkelsen/Anna Mouglalis;III (2010, F/9857/J, Szuez Film Kft., 120 perc)
Cold steel - Hideg acél;Cold steel;thriller;1987;USA;Dorothy Ann Puzo;Brad Davis/Sharon Stone/Jonathan Banks;IV (2006, F/2981/J)
Collateral - A halál záloga;Collateral;bűnügyi;2004;USA;Michael Mann;Jamie Foxx/Jada Pinkett Smith/Tom Cruise;III (2004, F/0143/J, UIP DUNA FILM KFT., 120 perc)
College;College;vígjáték;2008;USA;Deb Hagan;Andree Moss/Andrew Caldwell/Drake Bell;III (2008, F/7814/J, Paradigma Film Int., 94 perc)
Colto maltese - az elveszett aranyvonat;Colto Maltese: La cour secrete des Arcanes;animáció;2002;Franciaország/Olaszország;Pascal Morelli;;I (2005, F/0523/A, BEST HOLLYWOOD KFT.)
Columbo;Columbo;tévésorozat;1977;USA;;Peter Falk;II (2010, F/10010/E, Universal)
Columbo;Columbo ;tévésorozat;1971;USA;;Peter Falk;II (2010, F/10623/E, Universal)
Columbo;Columbo;tévésorozat;1975;USA;;Peter Falk;II (2009, F/9415/E, Universal)
Columbo ;Columbo;tévésorozat;1971;USA;;Peter Falk;II (2010, F/10343/E, Universal)
